Item Id,Cert Number,Stock Num,Shape,Carat,Color,Clarity,Cut,Polish,Sym,Fluor,Lab,Shade,Milky,Rap $/Ct,Rap Total,Rap %,$/Ct,Total Price,Aging,Rank,Count,My Stock,My Sales,My YTD Sales,Measurements,Ratio,Table,Depth,Key To Symbol,Cert Comments,BIC,BIS,WIS,WIC,OT,OC,OP,Crown Angle,Crown Height,Pav Angle,Pav Depth,Carat Range,Location,Broad Count,Turn,Overhang,Needs,Needs/Surplus,Grouped Needs
15084415,2516571706,41108-34,Round,1.5,F,VS2,EX,EX,EX,None,GIA,None,None,10300,15450,-43,5871,8807,25,10,27,3,2,4,7.28 x 7.24 x 4.59,1.01,57,63.3,"crystal, feather, needle, knot, indented_natural, natural",Clouds are not shown. Pinpoints are not shown.,V Light,V Light,Light,Light,None,None,None,36.5,16,41,43.5,1.50-1.69,India,1250,4.1,85.2,3,needs,8.5
14968376,6511656322,41138-1,Round,1.5,F,VS2,EX,EX,EX,None,GIA,None,None,10300,15450,-39,6283,9425,32,20,27,3,2,4,7.33 x 7.28 x 4.52,1.01,59,61.8,"cloud, needle",Additional clouds are not shown. Pinpoints are not shown.,V Light,V Light,Light,Light,None,None,None,34.5,14,41,43.5,1.50-1.69,India,1445,4.1,85.2,3,needs,8.5
15276355,7518214112,41020-43,Round,1.52,G,VS2,EX,EX,EX,None,GIA,None,None,8900,13528,-41,5251,7982,3,21,44,2,1,4,7.39 x 7.34 x 4.51,1.01,59,61.2,"crystal, feather, needle, cloud",Pinpoints are not shown.,Light,V Light,Light,Light,None,N/A,None,34.5,14,40.8,43,1.50-1.69,India,1750,5.9,53.3,5,needs,10
15084411,7511728766,41129-88,Round,1.5,G,VS2,EX,EX,EX,None,GIA,Other,None,8900,13350,-43,5073,7610,25,10,45,2,1,4,7.31 x 7.27 x 4.54,1.01,60,62.3,"crystal, cloud, feather, needle, natural",Additional clouds are not shown. Pinpoints are not shown.,Light,V Light,Light,Light,None,None,None,34,13.5,41.6,44,1.50-1.69,India,1750,5.9,53.3,5,needs,10
14812679,5516567559,41094-12,Round,1.5,H,IF,EX,EX,EX,None,GIA,None,None,10800,16200,-44,6048,9072,53,3,21,1,0,0,7.32 x 7.28 x 4.54,1.01,57,62.2,,Minor details of polish are not shown.,None,None,None,None,None,None,None,36,15.5,40.6,42.5,1.50-1.69,India,206,0.9,443,-0.5,,1.5
14968362,1518602840,41109-37,Round,1.62,H,VVS1,EX,EX,EX,Faint,GIA,None,None,10000,16200,-47,5300,8586,32,12,33,3,3,3,7.48 x 7.43 x 4.67,1.01,59,62.6,"pinpoint, feather",Additional pinpoints are not shown. Surface graining is not shown.,None,None,Light,V Light,None,None,None,36,15,41,43.5,1.50-1.69,India,701,1.3,348.7,-1.5,,1.5
14968199,2517721188,41137-66,Round,1.51,H,VVS1,EX,EX,EX,Medium,GIA,None,None,10000,15100,-54,4600,6947,32,1,39,3,3,3,7.33 x 7.28 x 4.56,1.01,56,62.5,pinpoint,-,None,None,V Light,None,None,None,None,35.5,15.5,40.6,43,1.50-1.69,India,500,1.3,348.7,-1.5,,1.5
14968184,1518562391,41108-21,Round,1.6,H,VS2,EX,EX,EX,Faint,GIA,None,None,7400,11840,-47,3922,6275,32,14,34,2,3,4,7.46 x 7.41 x 4.67,1.01,57,62.8,"cloud, crystal, feather, needle",Pinpoints are not shown. Surface graining is not shown.,V Light,V Light,Light,Light,None,None,None,35.5,15.5,41,43.5,1.50-1.69,India,1750,4.8,17.4,17.5,needs,24
15276354,1515268021,41037-103,Round,1.53,H,VS2,EX,EX,EX,None,GIA,None,None,7400,11322,-40,4441,6794,3,27,34,2,3,4,7.35 x 7.30 x 4.59,1.01,59,62.7,"crystal, cloud, pinpoint",Additional pinpoints are not shown.,V Light,None,None,Light,None,N/A,None,35,14.5,41.4,44,1.50-1.69,India,2000,4.8,17.4,17.5,needs,24
14968197,1515625938,41127-9,Round,1.3,E,VS1,EX,EX,EX,None,GIA,None,None,7900,10270,-35,5136,6676,32,2,11,3,0,0,6.98 x 6.93 x 4.36,1.01,59,62.7,"needle, crystal, feather, cloud",Pinpoints are not shown.,Light,V Light,Light,None,None,None,None,34.5,14,41.6,44.5,1.30-1.39,India,82,0,147,-3,,4
