Category,Item Id,Cert Number,Stock Num,Shape,Carat,Carat Range,Color,Clarity,Cut,Polish,Sym,Fluor,Lab,Shade,Milky,Rap $/Ct,Rap Total,Rap %,$/Ct,Total Price,Aging,Rank,Count,My Stock,My Sales,My YTD Sales
Round | 1.20 - 1.49 | D | VS1,14968191,7518485641,41084-15,Round,1.21,1.20 - 1.49,D,VS1,EX,EX,EX,None,GIA,None,None,8700,10527,-38,5395,6528,34,13,18,8,1,5
Round | 1.20 - 1.49 | E | VS1,12759771,5493336679,31098-169,Round,1.31,1.20 - 1.49,E,VS1,EX,EX,EX,None,GIA,None,None,7900,10349,-37,4978,6521,351,1,12,3,0,0
Round | 1.20 - 1.49 | F | VVS2,14812666,6511571926,41124-9,Round,1.22,1.20 - 1.49,F,VVS2,EX,EX,EX,None,GIA,None,None,8400,10248,-38,5209,6354,55,2,13,1,1,2
Round | 1.00 - 1.19 | E | IF,14767666,7518473475,41060-87,Round,1.07,1.00 - 1.19,E,IF,EX,EX,EX,Faint,GIA,None,None,12500,13375,-53,5875,6286,62,2,10,2,1,2
Round | 1.50 - 1.69 | H | VS2,14968184,1518562391,41108-21,Round,1.6,1.50 - 1.69,H,VS2,EX,EX,EX,Faint,GIA,None,None,7400,11840,-47,3922,6275,34,14,38,2,3,4
Round | 1.20 - 1.49 | D | VS1,14577710,7511309762,41046-12,Round,1.2,1.20 - 1.49,D,VS1,EX,EX,EX,None,GIA,None,None,8700,10440,-40,5220,6264,91,9,18,8,1,5
Round | 1.20 - 1.49 | D | VS1,14767667,1515485697,41081-63,Round,1.2,1.20 - 1.49,D,VS1,EX,EX,EX,None,GIA,None,None,8700,10440,-40,5220,6264,62,9,18,8,1,5
Round | 1.20 - 1.49 | G | VVS2,14812667,1518542830,41094-5,Round,1.3,1.20 - 1.49,G,VVS2,EX,EX,EX,None,GIA,None,None,7000,9100,-32,4760,6188,55,1,3,1,1,2
Round | 1.00 - 1.19 | D | VVS2,14968182,2514728978,41137-72,Round,1.01,1.00 - 1.19,D,VVS2,EX,EX,EX,None,GIA,None,None,10200,10302,-41,6018,6078,34,10,38,3,5,12
Round | 1.20 - 1.49 | D | VS1,12509910,3475900041,22034-48,Round,1.2,1.20 - 1.49,D,VS1,EX,EX,EX,None,GIA,None,None,8700,10440,-42,5046,6055,380,4,18,8,1,5
Round | 1.20 - 1.49 | D | VS1,14541693,2516242478,41037-75,Round,1.2,1.20 - 1.49,D,VS1,EX,EX,EX,None,GIA,None,None,8700,10440,-42,5046,6055,99,4,18,8,1,5
Round | 1.00 - 1.19 | F | VVS1,14900049,1519619519,41119-18,Round,1.01,1.00 - 1.19,F,VVS1,EX,EX,EX,None,GIA,None,None,9700,9797,-39,5917,5976,42,25,68,1,3,8
Round | 1.20 - 1.49 | D | VS1,12438882,1498004024,31068-119,Round,1.2,1.20 - 1.49,D,VS1,EX,EX,EX,None,GIA,None,None,8700,10440,-43,4960,5951,387,1,18,8,1,5
Round | 1.00 - 1.19 | E | VVS2,15084103,5516729015,41137-74,Round,1.09,1.00 - 1.19,E,VVS2,EX,EX,EX,None,GIA,None,None,9300,10137,-42,5394,5879,27,12,14,1,5,5
Round | 1.20 - 1.49 | E | VS1,15276357,2517773650,41137-149,Round,1.2,1.20 - 1.49,E,VS1,EX,EX,EX,None,GIA,None,None,7900,9480,-38,4899,5878,4,7,16,2,1,1
Round | 1.20 - 1.49 | E | VS1,14732043,7518401879,41062-19,Round,1.25,1.20 - 1.49,E,VS1,EX,EX,EX,None,GIA,None,None,7900,9875,-41,4661,5827,69,4,16,2,1,1
Round | 1.20 - 1.49 | E | VS2,14900044,6512610999,41108-40,Round,1.3,1.20 - 1.49,E,VS2,EX,EX,EX,None,GIA,None,None,6600,8580,-33,4423,5750,42,3,7,1,1,1
Round | 1.20 - 1.49 | F | VS1,14900039,6512601690,41111-23,Round,1.3,1.20 - 1.49,F,VS1,EX,EX,EX,Faint,GIA,Mix Tinge,None,7200,9360,-40,4321,5617,42,2,17,1,1,1
Round | 1.00 - 1.19 | D | VVS1,15084098,7512722420,41124-128,Round,1,1.00 - 1.19,D,VVS1,EX,EX,EX,Medium,GIA,None,None,12800,12800,-57,5505,5505,27,10,78,2,4,10
Round | 1.20 - 1.49 | F | VVS1,14900034,7518619466,41112-16,Round,1.2,1.20 - 1.49,F,VVS1,EX,EX,EX,Strong,GIA,None,None,9700,11640,-53,4559,5471,42,1,27,1,1,3
Round | 1.00 - 1.19 | F | IF,15084096,6512769380,41137-137,Round,1.16,1.00 - 1.19,F,IF,EX,EX,EX,Medium,GIA,None,None,10700,12412,-56,4708,5461,27,4,11,1,0,0
Round | 1.20 - 1.49 | D | VS1,14900032,1519626033,41122-9,Round,1.22,1.20 - 1.49,D,VS1,EX,EX,EX,Faint,GIA,None,None,8700,10614,-49,4438,5414,42,2,23,8,1,5
Round | 1.20 - 1.49 | E | VS1,14732035,2514262982,41041-6,Round,1.2,1.20 - 1.49,E,VS1,EX,EX,EX,None,GIA,None,None,7900,9480,-43,4504,5405,68,2,17,3,0,0
Round | 1.20 - 1.49 | F | VS2,14900029,6511601658,41124-22,Round,1.3,1.20 - 1.49,F,VS2,EX,EX,EX,None,GIA,None,None,6000,7800,-31,4140,5382,42,1,7,1,0,1
Round | 1.20 - 1.49 | E | VS1,14767656,1519485410,41082-42,Round,1.3,1.20 - 1.49,E,VS1,EX,EX,EX,Strong,GIA,None,None,7900,10270,-48,4108,5341,62,3,25,3,0,0
Round | 1.00 - 1.19 | D | VS1,14900026,1513619301,41092-28,Round,1,1.00 - 1.19,D,VS1,EX,EX,EX,None,GIA,None,None,8700,8700,-39,5308,5308,42,19,29,5,45,56
Round | 1.00 - 1.19 | F | VVS2,14968171,1519715543,41132-14,Round,1.02,1.00 - 1.19,F,VVS2,EX,EX,EX,None,GIA,None,None,8400,8568,-40,5041,5142,34,35,53,3,5,16
Round | 1.00 - 1.19 | D | VS1,14900019,2514577898,41081-109,Round,1,1.00 - 1.19,D,VS1,EX,EX,EX,None,GIA,None,None,8700,8700,-41,5134,5134,42,10,29,5,45,56
Round | 1.00 - 1.19 | F | VVS2,14900017,7516619492,41109-40,Round,1,1.00 - 1.19,F,VVS2,EX,EX,EX,None,GIA,None,None,8400,8400,-42,4872,4872,42,11,53,3,5,16
Round | 1.20 - 1.49 | E | VS2,12438761,7498010323,31074-65,Round,1.25,1.20 - 1.49,E,VS2,EX,EX,EX,None,GIA,None,None,6600,8250,-42,3828,4785,386,8,21,2,2,2
Round | 1.20 - 1.49 | G | VS2,15276356,6511838968,41154-3,Round,1.3,1.20 - 1.49,G,VS2,EX,EX,EX,None,GIA,None,None,5400,7020,-32,3673,4774,4,11,25,5,2,5
Round | 1.00 - 1.19 | F | VS1,14900015,2516572104,41111-17,Round,1.09,1.00 - 1.19,F,VS1,EX,EX,EX,None,GIA,None,None,7200,7848,-40,4321,4710,42,25,26,2,2,5
Round | 1.20 - 1.49 | G | VS2,15084084,6511757134,41147-4,Round,1.3,1.20 - 1.49,G,VS2,EX,EX,EX,None,GIA,None,None,5400,7020,-33,3618,4704,27,8,25,5,2,5
Round | 1.00 - 1.19 | E | VVS1,14767499,2516507061,41090-28,Round,1.08,1.00 - 1.19,E,VVS1,EX,EX,EX,Strong,GIA,None,None,11100,11988,-61,4329,4675,62,2,31,2,3,4
Round | 1.20 - 1.49 | G | VS2,13272454,5493827900,U-1783,Round,1.31,1.20 - 1.49,G,VS2,EX,EX,EX,None,GIA,None,None,5400,7074,-34,3564,4669,295,6,25,5,2,5
Round | 1.00 - 1.19 | F | VS1,14812655,2517555844,41108-18,Round,1.08,1.00 - 1.19,F,VS1,EX,EX,EX,None,GIA,None,None,7200,7776,-40,4321,4666,55,24,26,2,2,5
Round | 1.20 - 1.49 | E | VS2,14368670,6512011319,41012-37,Round,1.21,1.20 - 1.49,E,VS2,EX,EX,EX,None,GIA,None,None,6600,7986,-42,3829,4633,127,5,23,1,2,3
Round | 1.00 - 1.19 | E | VS1,14900013,7516592653,41094-16,Round,1.01,1.00 - 1.19,E,VS1,EX,EX,EX,None,GIA,None,None,7900,7979,-42,4583,4629,42,75,101,9,37,47
Round | 1.00 - 1.19 | D | VS1,15083854,6511715554,41137-41,Round,1.06,1.00 - 1.19,D,VS1,EX,EX,EX,Faint,GIA,None,None,8700,9222,-50,4351,4612,27,4,11,1,0,0
Round | 1.00 - 1.19 | D | VVS2,14900009,6515625783,41128-30,Round,1.13,1.00 - 1.19,D,VVS2,EX,EX,EX,Strong,GIA,None,None,10200,11526,-60,4080,4611,42,4,19,1,0,1
Round | 1.20 - 1.49 | F | VS2,14900007,1513453195,41081-23,Round,1.2,1.20 - 1.49,F,VS2,EX,EX,EX,None,GIA,None,None,6000,7200,-36,3841,4609,42,11,34,1,2,3
Round | 1.00 - 1.19 | E | VVS2,15083853,2517656680,41129-42,Round,1.03,1.00 - 1.19,E,VVS2,EX,EX,EX,Faint,GIA,None,None,9300,9579,-52,4464,4598,27,14,59,2,8,15
Round | 1.00 - 1.19 | F | VS1,14900012,2516601641,41099-58,Round,1.16,1.00 - 1.19,F,VS1,EX,EX,EX,None,GIA,Brown,None,7200,8352,-45,3960,4594,42,6,25,1,1,1
